Company Name,Founder,University,Location,Latitude,Longitude,Year Founded,Therapeutic Areas,Development Stage
Company 333,Dr. Rahul Chen,Yale University,"Berkeley, CA",42.3601,-83.743,2000,Oncology,Preclinical
Company 334,Dr. Sandra Desai,Princeton University,"Palo Alto, CA",42.3601,-72.9279,2011,Cardiology,Preclinical
Company 335,Dr. James Morgan,UC Berkeley,"Berkeley, CA",42.3736,-71.0942,2010,Gene Therapy,Market-ready
Company 336,Dr. Sandra Garcia,UC Berkeley,"Boston, MA",42.2808,-118.2437,2004,Dermatology,Clinical Phase III
Company 337,Dr. Laura Johnson,Stanford University,"Chicago, IL",41.3083,-118.1445,2012,Gene Therapy,Clinical Phase I
Company 338,Dr. Michael Desai,Yale University,"Princeton, NJ",34.0522,-72.9279,2018,Oncology,Preclinical
Company 339,Dr. James Smith,UC Berkeley,"Ann Arbor, MI",42.3736,-87.6298,2013,Ophthalmology,Market-ready
Company 340,Dr. Rahul Lee,Yale University,"New Haven, CT",37.4419,-122.2727,2011,Oncology,Preclinical
Company 341,Dr. James Desai,UCLA,"Palo Alto, CA",34.1478,-72.9279,2017,Cardiology,Preclinical
Company 342,Dr. James Morgan,Yale University,"Palo Alto, CA",42.2808,-83.743,2021,Infectious Diseases,Clinical Phase II
Company 343,Dr. David Wilson,MIT,"New Haven, CT",41.8781,-118.1445,2005,Infectious Diseases,Clinical Phase I
Company 344,Dr. Laura Brown,Princeton University,"Ann Arbor, MI",37.8716,-71.0942,2015,Endocrinology,Clinical Phase III
Company 345,Dr. Rahul Wilson,Stanford University,"Ann Arbor, MI",40.3487,-118.2437,2002,Immunology,Clinical Phase II
Company 346,Dr. David Morgan,Stanford University,"Pasadena, CA",42.2808,-72.9279,2000,Dermatology,Clinical Phase II
Company 347,Dr. Laura Davis,Stanford University,"Boston, MA",37.4419,-122.2727,2018,Gene Therapy,Clinical Phase III
Company 348,Dr. Rahul Johnson,Stanford University,"Berkeley, CA",42.2808,-83.743,2002,Infectious Diseases,Preclinical
Company 349,Dr. David Davis,UC Berkeley,"Chicago, IL",41.3083,-122.2727,2000,Dermatology,Preclinical
Company 350,Dr. Emily Johnson,Stanford University,"Pasadena, CA",42.3601,-72.9279,2008,Gene Therapy,Clinical Phase I
Company 351,Dr. Emily Wilson,Yale University,"New Haven, CT",34.0522,-122.143,2006,Immunology,Preclinical
Company 352,Dr. Sandra Garcia,MIT,"Pasadena, CA",34.0522,-71.0942,2001,Oncology,Clinical Phase II
Company 353,Dr. Sophia Davis,Caltech,"Cambridge, MA",41.8781,-118.2437,2001,Cardiology,Clinical Phase II
Company 354,Dr. John Johnson,Harvard University,"New Haven, CT",34.1478,-71.0942,2012,Neurology,Clinical Phase II
Company 355,Dr. James Lee,University of Michigan,"Boston, MA",41.8781,-74.6592,2016,Neurology,Clinical Phase III
Company 356,Dr. David Smith,Caltech,"Berkeley, CA",34.1478,-87.6298,2009,Dermatology,Preclinical
Company 357,Dr. Rahul Lee,Caltech,"Ann Arbor, MI",42.3601,-74.6592,2020,Ophthalmology,Preclinical
Company 358,Dr. John Smith,Yale University,"Cambridge, MA",41.3083,-71.1097,2022,Ophthalmology,Preclinical
Company 359,Dr. John Garcia,Stanford University,"Palo Alto, CA",37.8716,-118.1445,2016,Rare Diseases,Preclinical
Company 360,Dr. James Johnson,UC Berkeley,"Berkeley, CA",40.3487,-118.2437,2013,Rare Diseases,Clinical Phase I
Company 361,Dr. David Morgan,Yale University,"New Haven, CT",34.1478,-118.1445,2013,Rare Diseases,Clinical Phase I
Company 362,Dr. John Brown,UC Berkeley,"Princeton, NJ",40.3487,-83.743,2022,Neurology,Clinical Phase II
Company 363,Dr. Emily Davis,Harvard University,"Chicago, IL",34.0522,-122.143,2012,Oncology,Clinical Phase II
Company 364,Dr. Michael Brown,UCLA,"Cambridge, MA",34.0522,-122.2727,2002,Immunology,Clinical Phase III
Company 365,Dr. Sandra Brown,University of Michigan,"Chicago, IL",42.3601,-118.1445,2020,Dermatology,Market-ready
Company 366,Dr. Sandra Garcia,UCLA,"Boston, MA",37.4419,-87.6298,2017,Infectious Diseases,Clinical Phase II
Company 367,Dr. Sandra Wilson,Yale University,"Pasadena, CA",40.3487,-83.743,2017,Ophthalmology,Preclinical
Company 368,Dr. Alice Wilson,Stanford University,"Cambridge, MA",34.1478,-118.2437,2019,Endocrinology,Clinical Phase II
Company 369,Dr. Michael Desai,University of Michigan,"Chicago, IL",40.3487,-83.743,2004,Gene Therapy,Clinical Phase II
Company 370,Dr. Michael Johnson,Caltech,"Palo Alto, CA",41.3083,-87.6298,2008,Immunology,Clinical Phase I
Company 371,Dr. John Wilson,University of Chicago,"Los Angeles, CA",37.4419,-122.2727,2002,Cardiology,Preclinical
Company 372,Dr. Michael Davis,MIT,"New Haven, CT",42.3601,-122.2727,2009,Immunology,Clinical Phase III
Company 373,Dr. John Davis,Princeton University,"New Haven, CT",37.4419,-122.143,2002,Dermatology,Clinical Phase III
Company 374,Dr. Alice Desai,University of Chicago,"Berkeley, CA",42.3736,-118.1445,2016,Oncology,Clinical Phase III
Company 375,Dr. Sandra Smith,Stanford University,"Boston, MA",40.3487,-71.0942,2006,Rare Diseases,Clinical Phase II
Company 376,Dr. Laura Smith,Yale University,"Cambridge, MA",40.3487,-118.1445,2004,Infectious Diseases,Clinical Phase III
Company 377,Dr. Sandra Garcia,Caltech,"Boston, MA",34.0522,-71.0942,2017,Endocrinology,Clinical Phase III
Company 378,Dr. David Davis,Yale University,"Chicago, IL",42.3601,-122.2727,2010,Neurology,Clinical Phase III
Company 379,Dr. Sophia Wilson,Stanford University,"Pasadena, CA",40.3487,-74.6592,2012,Oncology,Clinical Phase I
Company 380,Dr. David Johnson,UCLA,"New Haven, CT",41.8781,-74.6592,2018,Immunology,Preclinical
Company 381,Dr. Sophia Brown,University of Michigan,"New Haven, CT",41.8781,-122.2727,2020,Neurology,Clinical Phase I
Company 382,Dr. David Davis,University of Chicago,"Pasadena, CA",41.3083,-74.6592,2020,Gene Therapy,Preclinical
Company 383,Dr. Sandra Lee,UC Berkeley,"Palo Alto, CA",40.3487,-71.1097,2021,Rare Diseases,Clinical Phase I
Company 384,Dr. Sandra Smith,Caltech,"Boston, MA",34.1478,-72.9279,2020,Oncology,Preclinical
Company 385,Dr. Rahul Smith,University of Michigan,"Chicago, IL",37.4419,-74.6592,2002,Endocrinology,Clinical Phase III
Company 386,Dr. David Desai,University of Michigan,"Princeton, NJ",34.0522,-71.0942,2009,Oncology,Market-ready
Company 387,Dr. Sophia Chen,Caltech,"New Haven, CT",42.3601,-122.143,2022,Rare Diseases,Clinical Phase III
Company 388,Dr. Michael Smith,Harvard University,"Berkeley, CA",34.1478,-122.143,2013,Dermatology,Market-ready
Company 389,Dr. John Lee,University of Michigan,"New Haven, CT",37.4419,-118.2437,2023,Endocrinology,Clinical Phase III
Company 390,Dr. James Wilson,UCLA,"Ann Arbor, MI",40.3487,-72.9279,2007,Endocrinology,Clinical Phase I
Company 391,Dr. James Lee,Harvard University,"Los Angeles, CA",34.1478,-87.6298,2001,Rare Diseases,Market-ready
Company 392,Dr. Rahul Smith,MIT,"Palo Alto, CA",42.3736,-71.0942,2007,Oncology,Clinical Phase III
Company 393,Dr. Sandra Smith,UCLA,"Cambridge, MA",34.1478,-71.1097,2002,Ophthalmology,Clinical Phase II
Company 394,Dr. David Chen,UCLA,"Chicago, IL",41.8781,-71.0942,2013,Dermatology,Market-ready
Company 395,Dr. Sandra Morgan,Yale University,"Pasadena, CA",40.3487,-122.2727,2003,Gene Therapy,Preclinical
Company 396,Dr. Sophia Chen,Yale University,"Princeton, NJ",37.8716,-72.9279,2014,Cardiology,Clinical Phase I
Company 397,Dr. Sandra Morgan,Harvard University,"Berkeley, CA",34.1478,-122.2727,2019,Dermatology,Clinical Phase III
Company 398,Dr. Alice Wilson,MIT,"Princeton, NJ",42.3601,-122.143,2019,Cardiology,Clinical Phase III
Company 399,Dr. Sandra Chen,MIT,"Palo Alto, CA",42.3736,-71.1097,2001,Gene Therapy,Preclinical
Company 400,Dr. John Desai,University of Michigan,"Ann Arbor, MI",40.3487,-122.143,2009,Endocrinology,Clinical Phase III
Company 401,Dr. Alice Garcia,UC Berkeley,"Ann Arbor, MI",34.1478,-83.743,2021,Immunology,Clinical Phase III
Company 402,Dr. Sandra Davis,Stanford University,"Pasadena, CA",42.2808,-118.2437,2023,Rare Diseases,Preclinical
Company 403,Dr. John Davis,MIT,"Los Angeles, CA",42.3736,-74.6592,2021,Endocrinology,Preclinical
Company 404,Dr. David Chen,Harvard University,"Boston, MA",37.8716,-74.6592,2023,Endocrinology,Clinical Phase II
Company 405,Dr. Alice Lee,Stanford University,"Ann Arbor, MI",42.2808,-74.6592,2005,Rare Diseases,Clinical Phase II
Company 406,Dr. John Desai,Caltech,"Pasadena, CA",42.3736,-71.0942,2003,Neurology,Preclinical
Company 407,Dr. Rahul Johnson,University of Chicago,"Los Angeles, CA",34.0522,-71.0942,2000,Rare Diseases,Market-ready
Company 408,Dr. John Desai,UC Berkeley,"Palo Alto, CA",42.3601,-118.2437,2022,Infectious Diseases,Market-ready
Company 409,Dr. James Morgan,UC Berkeley,"Chicago, IL",37.4419,-118.1445,2004,Immunology,Market-ready
Company 410,Dr. Emily Chen,Princeton University,"Palo Alto, CA",42.3736,-72.9279,2022,Gene Therapy,Clinical Phase I
Company 411,Dr. James Lee,Yale University,"Pasadena, CA",37.8716,-122.2727,2000,Oncology,Clinical Phase II
Company 412,Dr. Rahul Smith,MIT,"Chicago, IL",41.3083,-118.1445,2005,Oncology,Market-ready
Company 413,Dr. Rahul Wilson,Yale University,"Pasadena, CA",37.4419,-71.0942,2015,Cardiology,Market-ready
Company 414,Dr. Laura Garcia,UCLA,"Palo Alto, CA",40.3487,-74.6592,2011,Ophthalmology,Market-ready
Company 415,Dr. James Garcia,Yale University,"New Haven, CT",42.3736,-87.6298,2016,Dermatology,Preclinical
Company 416,Dr. Michael Wilson,University of Michigan,"New Haven, CT",37.4419,-72.9279,2016,Infectious Diseases,Clinical Phase III
Company 417,Dr. Laura Davis,University of Michigan,"Palo Alto, CA",34.1478,-71.1097,2023,Neurology,Clinical Phase I
Company 418,Dr. John Lee,Stanford University,"Princeton, NJ",42.3736,-118.1445,2008,Ophthalmology,Clinical Phase III
Company 419,Dr. James Johnson,Harvard University,"Princeton, NJ",42.2808,-122.143,2005,Immunology,Clinical Phase II
Company 420,Dr. Sandra Garcia,MIT,"Ann Arbor, MI",37.8716,-83.743,2011,Dermatology,Clinical Phase III
Company 421,Dr. James Morgan,MIT,"Ann Arbor, MI",41.8781,-122.2727,2004,Ophthalmology,Clinical Phase I
Company 422,Dr. James Desai,University of Michigan,"Chicago, IL",41.8781,-122.143,2023,Dermatology,Market-ready
Company 423,Dr. Michael Smith,Harvard University,"Chicago, IL",37.8716,-122.143,2008,Ophthalmology,Market-ready
Company 424,Dr. Sandra Desai,Stanford University,"New Haven, CT",41.3083,-87.6298,2023,Endocrinology,Preclinical
Company 425,Dr. Emily Smith,UCLA,"Princeton, NJ",37.8716,-72.9279,2003,Infectious Diseases,Preclinical
Company 426,Dr. Emily Wilson,Princeton University,"Los Angeles, CA",34.1478,-83.743,2000,Neurology,Clinical Phase I
Company 427,Dr. Rahul Chen,UC Berkeley,"Palo Alto, CA",37.8716,-72.9279,2010,Endocrinology,Market-ready
Company 428,Dr. Alice Johnson,Princeton University,"Los Angeles, CA",37.8716,-118.1445,2013,Rare Diseases,Clinical Phase III
Company 429,Dr. John Garcia,University of Michigan,"Chicago, IL",37.4419,-118.2437,2008,Oncology,Clinical Phase III
Company 430,Dr. John Lee,Princeton University,"Los Angeles, CA",40.3487,-74.6592,2016,Dermatology,Clinical Phase I
Company 431,Dr. Alice Smith,UC Berkeley,"Pasadena, CA",41.8781,-118.1445,2002,Immunology,Preclinical
Company 432,Dr. Sandra Lee,UCLA,"Cambridge, MA",41.3083,-72.9279,2008,Ophthalmology,Clinical Phase III
Company 433,Dr. John Desai,University of Chicago,"New Haven, CT",37.4419,-118.1445,2022,Infectious Diseases,Clinical Phase II
Company 434,Dr. Michael Lee,Caltech,"Princeton, NJ",41.8781,-122.143,2018,Ophthalmology,Clinical Phase I
Company 435,Dr. James Smith,Stanford University,"Boston, MA",40.3487,-118.1445,2020,Infectious Diseases,Clinical Phase II
Company 436,Dr. Laura Desai,Yale University,"New Haven, CT",37.8716,-118.1445,2002,Infectious Diseases,Clinical Phase II
Company 437,Dr. Sophia Smith,UC Berkeley,"Pasadena, CA",40.3487,-72.9279,2015,Gene Therapy,Preclinical
Company 438,Dr. Emily Lee,Stanford University,"Princeton, NJ",41.8781,-122.143,2014,Oncology,Market-ready
Company 439,Dr. Emily Desai,UCLA,"Chicago, IL",34.0522,-83.743,2016,Endocrinology,Clinical Phase I
Company 440,Dr. Alice Chen,University of Michigan,"Boston, MA",42.3736,-71.1097,2011,Gene Therapy,Market-ready
Company 441,Dr. Sandra Garcia,Princeton University,"Palo Alto, CA",42.3736,-122.143,2001,Gene Therapy,Clinical Phase III
Company 442,Dr. James Lee,Caltech,"Palo Alto, CA",42.2808,-71.1097,2015,Neurology,Clinical Phase III
Company 443,Dr. John Desai,UCLA,"Ann Arbor, MI",34.1478,-72.9279,2018,Neurology,Clinical Phase I
Company 444,Dr. John Lee,Harvard University,"Berkeley, CA",40.3487,-122.143,2005,Gene Therapy,Preclinical
Company 445,Dr. Laura Lee,University of Chicago,"Pasadena, CA",37.8716,-87.6298,2011,Immunology,Clinical Phase III
Company 446,Dr. Sophia Wilson,UC Berkeley,"Princeton, NJ",40.3487,-118.2437,2005,Dermatology,Clinical Phase III
Company 447,Dr. John Davis,University of Michigan,"Berkeley, CA",37.8716,-74.6592,2008,Oncology,Market-ready
Company 448,Dr. Rahul Garcia,Harvard University,"Berkeley, CA",34.0522,-87.6298,2003,Dermatology,Clinical Phase III
Company 449,Dr. Alice Johnson,Harvard University,"Boston, MA",34.0522,-74.6592,2018,Neurology,Preclinical
Company 450,Dr. David Garcia,University of Chicago,"Palo Alto, CA",34.1478,-87.6298,2021,Gene Therapy,Clinical Phase III
Company 451,Dr. Sandra Morgan,UCLA,"Chicago, IL",41.3083,-72.9279,2023,Infectious Diseases,Clinical Phase III
Company 452,Dr. Rahul Smith,University of Chicago,"New Haven, CT",41.8781,-74.6592,2003,Rare Diseases,Clinical Phase II
Company 453,Dr. James Garcia,MIT,"Palo Alto, CA",42.2808,-122.2727,2007,Cardiology,Preclinical
Company 454,Dr. Alice Lee,UCLA,"Pasadena, CA",34.0522,-118.1445,2023,Oncology,Clinical Phase III
Company 455,Dr. James Morgan,UCLA,"Pasadena, CA",37.4419,-118.2437,2016,Oncology,Preclinical
Company 456,Dr. Emily Davis,Yale University,"Princeton, NJ",42.3736,-122.2727,2000,Dermatology,Preclinical
Company 457,Dr. Sophia Davis,Stanford University,"New Haven, CT",37.8716,-87.6298,2001,Ophthalmology,Clinical Phase III
Company 458,Dr. Sandra Chen,Harvard University,"Chicago, IL",42.3601,-87.6298,2000,Dermatology,Clinical Phase III
Company 459,Dr. James Johnson,Princeton University,"Princeton, NJ",42.3736,-122.2727,2007,Ophthalmology,Preclinical
Company 460,Dr. John Desai,UC Berkeley,"Boston, MA",34.0522,-122.2727,2001,Cardiology,Market-ready
Company 461,Dr. John Brown,MIT,"Chicago, IL",34.0522,-71.1097,2015,Rare Diseases,Market-ready
Company 462,Dr. Laura Brown,MIT,"Chicago, IL",37.4419,-71.0942,2011,Ophthalmology,Preclinical
Company 463,Dr. David Desai,UC Berkeley,"Berkeley, CA",37.4419,-118.2437,2012,Endocrinology,Preclinical
Company 464,Dr. Emily Brown,Caltech,"Princeton, NJ",42.3601,-118.1445,2004,Immunology,Market-ready
Company 465,Dr. Laura Davis,University of Chicago,"Cambridge, MA",42.3736,-71.0942,2005,Infectious Diseases,Market-ready
Company 466,Dr. Sandra Johnson,Caltech,"Palo Alto, CA",34.1478,-122.2727,2001,Infectious Diseases,Clinical Phase II
Company 467,Dr. Sophia Morgan,Caltech,"Princeton, NJ",42.3601,-122.2727,2017,Ophthalmology,Market-ready
Company 468,Dr. John Desai,Yale University,"Chicago, IL",42.3736,-71.1097,2022,Dermatology,Market-ready
Company 469,Dr. David Lee,Stanford University,"Ann Arbor, MI",34.0522,-118.2437,2023,Oncology,Clinical Phase I
Company 470,Dr. David Desai,UC Berkeley,"Chicago, IL",42.3736,-118.2437,2020,Dermatology,Clinical Phase III
Company 471,Dr. Laura Wilson,Harvard University,"Chicago, IL",37.8716,-83.743,2013,Gene Therapy,Clinical Phase II
Company 472,Dr. Alice Wilson,UC Berkeley,"New Haven, CT",34.1478,-122.143,2007,Gene Therapy,Clinical Phase II
Company 473,Dr. John Johnson,Harvard University,"Los Angeles, CA",34.0522,-71.0942,2010,Infectious Diseases,Preclinical
Company 474,Dr. Alice Smith,Princeton University,"New Haven, CT",40.3487,-122.143,2007,Infectious Diseases,Clinical Phase I
Company 475,Dr. Sophia Brown,Stanford University,"Princeton, NJ",34.0522,-74.6592,2013,Infectious Diseases,Clinical Phase III
Company 476,Dr. James Davis,Yale University,"Ann Arbor, MI",42.3736,-87.6298,2023,Oncology,Clinical Phase II
Company 477,Dr. John Morgan,University of Michigan,"Palo Alto, CA",41.8781,-72.9279,2010,Oncology,Market-ready
Company 478,Dr. Michael Lee,UC Berkeley,"Ann Arbor, MI",40.3487,-72.9279,2008,Infectious Diseases,Market-ready
Company 479,Dr. Sophia Chen,University of Michigan,"Los Angeles, CA",42.2808,-118.2437,2002,Oncology,Market-ready
Company 480,Dr. Sandra Davis,UC Berkeley,"Princeton, NJ",34.0522,-118.1445,2018,Rare Diseases,Clinical Phase III
Company 481,Dr. John Desai,UC Berkeley,"Ann Arbor, MI",42.3601,-122.143,2011,Ophthalmology,Clinical Phase II
Company 482,Dr. Alice Garcia,UCLA,"Chicago, IL",41.3083,-83.743,2003,Cardiology,Clinical Phase III
Company 483,Dr. Michael Chen,Stanford University,"Ann Arbor, MI",42.3601,-118.1445,2016,Dermatology,Preclinical
Company 484,Dr. Sandra Wilson,UC Berkeley,"Boston, MA",42.3601,-74.6592,2021,Rare Diseases,Preclinical
Company 485,Dr. Alice Wilson,Harvard University,"Princeton, NJ",41.3083,-72.9279,2001,Dermatology,Clinical Phase I
Company 486,Dr. Laura Desai,Yale University,"Palo Alto, CA",34.0522,-71.0942,2005,Endocrinology,Preclinical
Company 487,Dr. Michael Desai,MIT,"Princeton, NJ",42.2808,-122.2727,2007,Infectious Diseases,Clinical Phase II
Company 488,Dr. John Desai,University of Michigan,"Chicago, IL",41.8781,-71.0942,2016,Infectious Diseases,Clinical Phase II
Company 489,Dr. Emily Davis,Princeton University,"Boston, MA",40.3487,-122.2727,2001,Endocrinology,Clinical Phase II
Company 490,Dr. Sandra Wilson,Yale University,"Boston, MA",34.0522,-71.0942,2012,Immunology,Market-ready
Company 491,Dr. Sandra Johnson,Stanford University,"Chicago, IL",37.8716,-122.143,2002,Gene Therapy,Market-ready
Company 492,Dr. John Davis,UC Berkeley,"Chicago, IL",42.2808,-72.9279,2014,Rare Diseases,Clinical Phase II
Company 493,Dr. Michael Davis,Stanford University,"Boston, MA",42.2808,-72.9279,2009,Dermatology,Preclinical
Company 494,Dr. Sophia Chen,University of Chicago,"Boston, MA",42.3736,-118.1445,2009,Gene Therapy,Preclinical
Company 495,Dr. Laura Smith,UC Berkeley,"New Haven, CT",40.3487,-71.0942,2010,Infectious Diseases,Clinical Phase I
Company 496,Dr. James Wilson,University of Michigan,"Boston, MA",42.3601,-87.6298,2002,Infectious Diseases,Clinical Phase III
Company 497,Dr. Emily Desai,UC Berkeley,"Cambridge, MA",41.8781,-83.743,2017,Dermatology,Clinical Phase I
Company 498,Dr. Sandra Johnson,Caltech,"Cambridge, MA",37.8716,-71.0942,2014,Immunology,Clinical Phase III
Company 499,Dr. David Wilson,Stanford University,"Palo Alto, CA",40.3487,-71.0942,2000,Dermatology,Preclinical
Company 500,Dr. Sandra Morgan,UC Berkeley,"Cambridge, MA",34.1478,-122.143,2011,Cardiology,Clinical Phase II
